timestamp,people_count,crowd_level
2025-12-21 10:54:13.929841,13,Medium
2025-12-21 10:54:14.235813,14,Medium
2025-12-21 10:54:14.574017,14,Medium
2025-12-21 10:54:14.884421,14,Medium
2025-12-21 10:54:15.175272,13,Medium
2025-12-21 10:54:15.516368,15,Medium
2025-12-21 10:54:15.874730,15,Medium
2025-12-21 10:54:16.137654,16,High
2025-12-21 10:54:16.499241,15,Medium
2025-12-21 10:54:45.186826,15,Medium
2025-12-21 10:54:45.400187,15,Medium
2025-12-21 10:54:45.689839,14,Medium
2025-12-21 10:54:46.152973,14,Medium
2025-12-21 10:54:46.343138,14,Medium
2025-12-21 10:54:46.570468,14,Medium
2025-12-21 10:54:46.840052,15,Medium
2025-12-21 10:54:47.044001,15,Medium
2025-12-21 10:54:47.204952,15,Medium
2025-12-21 10:54:47.357782,15,Medium
2025-12-21 10:54:47.528829,14,Medium
2025-12-21 10:54:47.715014,15,Medium
2025-12-21 10:54:47.897580,17,High
2025-12-21 10:54:48.084525,14,Medium
2025-12-21 10:54:48.258055,14,Medium
2025-12-21 10:54:48.439205,15,Medium
2025-12-21 10:54:48.630155,14,Medium
2025-12-21 10:54:48.811800,13,Medium
2025-12-21 10:54:48.995001,14,Medium
2025-12-21 10:54:49.177270,14,Medium
2025-12-21 10:54:49.359367,14,Medium
2025-12-21 10:54:49.536998,12,Medium
2025-12-21 10:54:49.717996,13,Medium
2025-12-21 10:54:49.903660,14,Medium
2025-12-21 10:54:50.090488,14,Medium
2025-12-21 10:54:50.271156,16,High
2025-12-21 10:54:50.452267,17,High
2025-12-21 10:54:50.637629,17,High
2025-12-21 10:54:50.823765,15,Medium
2025-12-21 10:54:51.001769,14,Medium
2025-12-21 10:54:51.181043,14,Medium
2025-12-21 10:54:51.362427,14,Medium
2025-12-21 10:54:51.549048,13,Medium
2025-12-21 10:54:51.728858,14,Medium
2025-12-21 10:54:51.911918,14,Medium
2025-12-21 10:54:52.093146,15,Medium
2025-12-21 10:54:52.252588,15,Medium
2025-12-21 10:54:52.436816,15,Medium
2025-12-21 10:54:52.627790,14,Medium
2025-12-21 10:54:52.811721,18,High
2025-12-21 10:54:52.999886,17,High
2025-12-21 10:54:53.187149,17,High
2025-12-21 10:54:53.376912,17,High
2025-12-21 10:54:53.560588,15,Medium
2025-12-21 10:54:53.757666,16,High
2025-12-21 10:54:53.948617,15,Medium
2025-12-21 10:54:54.127372,14,Medium
2025-12-21 10:54:54.312482,15,Medium
2025-12-21 10:54:54.502264,15,Medium
2025-12-21 10:54:54.682974,15,Medium
2025-12-21 10:54:54.865401,16,High
2025-12-21 10:54:55.041457,14,Medium
2025-12-21 10:54:55.218500,14,Medium
2025-12-21 10:54:55.404741,14,Medium
2025-12-21 10:54:55.588122,14,Medium
2025-12-21 10:54:55.771470,16,High
2025-12-21 10:54:55.954242,15,Medium
2025-12-21 10:54:56.134145,13,Medium
2025-12-21 10:54:56.314808,13,Medium
2025-12-21 10:54:56.495844,15,Medium
2025-12-21 10:54:56.690379,16,High
2025-12-21 10:54:56.878691,17,High
2025-12-21 10:54:57.062309,15,Medium
2025-12-21 10:54:57.247180,14,Medium
2025-12-21 10:54:57.427466,16,High
2025-12-21 10:54:57.612102,15,Medium
2025-12-21 10:54:57.798260,17,High
2025-12-21 10:54:57.981800,19,High
2025-12-21 10:54:58.174731,21,High
2025-12-21 10:54:58.363900,17,High
2025-12-21 10:54:58.554195,18,High
2025-12-21 10:54:58.706293,15,Medium
2025-12-21 10:54:58.832626,17,High
2025-12-21 10:54:58.950742,20,High
2025-12-21 10:54:59.084498,19,High
2025-12-21 10:54:59.210245,17,High
2025-12-21 10:54:59.348857,17,High
2025-12-21 10:54:59.471328,18,High
2025-12-21 10:54:59.600458,17,High
2025-12-21 10:54:59.725615,15,Medium
2025-12-21 10:54:59.894013,14,Medium
2025-12-21 10:55:00.089966,14,Medium
2025-12-21 10:55:00.266849,14,Medium
2025-12-21 10:55:00.443113,12,Medium
2025-12-21 10:55:00.629703,13,Medium
2025-12-21 10:55:00.808862,13,Medium
2025-12-21 10:55:00.980253,14,Medium
2025-12-21 10:55:01.157272,14,Medium
2025-12-21 10:55:01.332556,14,Medium
2025-12-21 10:55:01.508524,13,Medium
2025-12-21 10:55:01.670896,14,Medium
2025-12-21 10:55:01.845206,12,Medium
2025-12-21 10:55:02.021390,12,Medium
2025-12-21 10:55:02.198653,12,Medium
2025-12-21 10:55:02.372564,12,Medium
2025-12-21 10:55:02.529706,12,Medium
2025-12-21 10:55:02.695483,10,Medium
2025-12-21 10:55:02.870624,12,Medium
2025-12-21 10:55:03.059342,11,Medium
2025-12-21 10:55:03.239718,11,Medium
2025-12-21 10:55:03.417489,12,Medium
2025-12-21 10:55:03.591723,12,Medium
2025-12-21 10:55:03.760779,12,Medium
2025-12-21 10:55:03.939443,12,Medium
2025-12-21 10:55:04.112174,12,Medium
2025-12-21 10:55:04.273718,12,Medium
2025-12-21 10:55:04.427811,12,Medium
2025-12-21 10:55:04.603996,12,Medium
2025-12-21 10:55:04.776309,12,Medium
2025-12-21 10:55:04.951717,11,Medium
2025-12-21 10:55:05.123458,11,Medium
2025-12-21 10:55:05.301269,11,Medium
2025-12-21 10:55:05.480159,11,Medium
2025-12-21 10:55:05.653712,10,Medium
2025-12-21 10:55:05.818688,10,Medium
2025-12-21 10:55:05.996536,10,Medium
2025-12-21 10:55:06.175027,10,Medium
2025-12-21 10:55:06.345073,12,Medium
2025-12-21 10:55:06.530650,12,Medium
2025-12-21 10:55:06.707957,12,Medium
2025-12-21 10:55:06.889204,14,Medium
2025-12-21 10:55:07.066698,12,Medium
2025-12-21 10:55:07.237596,13,Medium
2025-12-21 10:55:07.418953,14,Medium
2025-12-21 10:55:07.592845,14,Medium
2025-12-21 10:55:07.765560,15,Medium
2025-12-21 10:55:07.927854,16,High
2025-12-21 10:55:08.111191,13,Medium
2025-12-21 10:55:08.289805,15,Medium
2025-12-21 10:55:08.458664,15,Medium
2025-12-21 10:55:08.646202,17,High
2025-12-21 10:55:08.819112,13,Medium
2025-12-21 10:55:08.995411,14,Medium
2025-12-21 10:55:09.164835,14,Medium
2025-12-21 10:55:09.344039,14,Medium
2025-12-21 10:55:09.516145,13,Medium
2025-12-21 10:55:09.692625,14,Medium
2025-12-21 10:55:09.866715,14,Medium
2025-12-21 10:55:10.042320,14,Medium
2025-12-21 10:55:10.213832,15,Medium
2025-12-21 10:55:10.498463,13,Medium
2025-12-21 10:55:10.701454,15,Medium
2025-12-21 10:55:10.915550,15,Medium
2025-12-21 10:55:11.117933,14,Medium
2025-12-21 10:55:11.302804,14,Medium
2025-12-21 10:55:11.485202,14,Medium
2025-12-21 10:55:11.666082,14,Medium
2025-12-21 10:55:11.838233,15,Medium
2025-12-21 10:55:12.008280,15,Medium
2025-12-21 10:55:12.195708,15,Medium
2025-12-21 10:55:12.354992,15,Medium
2025-12-21 10:55:12.526698,14,Medium
2025-12-21 10:55:12.702996,15,Medium
2025-12-21 10:55:12.887333,17,High
2025-12-21 10:55:13.072048,14,Medium
2025-12-21 10:55:13.255937,14,Medium
2025-12-21 10:55:13.445664,15,Medium
2025-12-21 10:55:13.645462,14,Medium
2025-12-21 10:55:13.806233,13,Medium
2025-12-21 10:55:13.987355,14,Medium
2025-12-21 10:55:14.168343,14,Medium
2025-12-21 10:55:14.360242,14,Medium
2025-12-21 10:55:14.540184,12,Medium
2025-12-21 10:55:14.718447,13,Medium
2025-12-21 10:55:14.901874,14,Medium
2025-12-21 10:55:15.092564,14,Medium
2025-12-21 10:55:15.274145,16,High
2025-12-21 10:55:15.435451,17,High
2025-12-21 10:55:15.608771,17,High
2025-12-21 10:55:15.794358,15,Medium
2025-12-21 10:55:15.984639,14,Medium
2025-12-21 10:55:16.175617,14,Medium
2025-12-21 10:55:16.363116,14,Medium
2025-12-21 10:55:16.536012,13,Medium
2025-12-21 10:55:16.723448,14,Medium
2025-12-21 10:55:16.946116,14,Medium
2025-12-21 10:55:17.141580,15,Medium
2025-12-21 10:55:17.326246,15,Medium
2025-12-21 10:55:17.505269,15,Medium
2025-12-21 10:55:17.692042,14,Medium
2025-12-21 10:55:17.864218,18,High
2025-12-21 10:55:18.043562,17,High
2025-12-21 10:55:18.173227,17,High
2025-12-21 10:55:18.294484,17,High
2025-12-21 10:55:18.432252,15,Medium
2025-12-21 10:55:18.556337,16,High
2025-12-21 10:55:18.728731,15,Medium
2025-12-21 10:55:18.879467,14,Medium
2025-12-21 10:55:19.054547,15,Medium
2025-12-21 10:55:19.273209,15,Medium
2025-12-21 10:55:19.483361,15,Medium
2025-12-21 10:55:19.688401,16,High
2025-12-21 10:55:19.889136,14,Medium
2025-12-21 10:55:20.101082,14,Medium
2025-12-21 10:55:20.298866,14,Medium
2025-12-21 10:55:20.499915,14,Medium
2025-12-21 10:55:20.673696,16,High
2025-12-21 10:55:20.864236,15,Medium
2025-12-21 10:55:21.056681,13,Medium
2025-12-21 10:55:21.243162,13,Medium
2025-12-21 10:55:21.438030,15,Medium
2025-12-21 10:55:21.647605,16,High
2025-12-21 10:55:21.836162,17,High
2025-12-21 10:55:22.032950,15,Medium
2025-12-21 10:55:22.224214,14,Medium
2025-12-21 10:55:22.448428,16,High
2025-12-21 10:55:22.684900,15,Medium
2025-12-21 10:55:22.932550,17,High
2025-12-21 10:55:23.172565,19,High
2025-12-21 10:55:23.399696,21,High
2025-12-21 10:55:23.601822,17,High
2025-12-21 10:55:23.794931,18,High
2025-12-21 10:55:23.987605,15,Medium
2025-12-21 10:55:24.215401,17,High
2025-12-21 10:55:24.434514,20,High
